device_id,device_type,device_token,primary_phone_id
DEV00576,Android,DEVICE_00576,PH00594
DEV00577,Android,DEVICE_00577,PH01143
DEV00578,Laptop,DEVICE_00578,PH00452
DEV00579,iOS,DEVICE_00579,PH00324
DEV00580,Laptop,DEVICE_00580,PH00932
DEV00581,iOS,DEVICE_00581,PH00086
DEV00582,Laptop,DEVICE_00582,PH00678
DEV00583,Tablet,DEVICE_00583,PH00278
DEV00584,Android,DEVICE_00584,PH00979
DEV00585,Laptop,DEVICE_00585,PH01145
DEV00586,Laptop,DEVICE_00586,PH00528
DEV00587,Android,DEVICE_00587,PH00958
DEV00588,Laptop,DEVICE_00588,PH00559
DEV00589,Tablet,DEVICE_00589,PH00236
DEV00590,Tablet,DEVICE_00590,PH01097
DEV00591,iOS,DEVICE_00591,PH00135
DEV00592,Tablet,DEVICE_00592,PH00244
DEV00593,Tablet,DEVICE_00593,PH00060
DEV00594,Tablet,DEVICE_00594,PH00757
DEV00595,iOS,DEVICE_00595,PH01027
DEV00596,Android,DEVICE_00596,PH00188
DEV00597,iOS,DEVICE_00597,PH00258
DEV00598,Android,DEVICE_00598,PH01166
DEV00599,Tablet,DEVICE_00599,PH00670
DEV00600,iOS,DEVICE_00600,PH01198
DEV00601,Android,DEVICE_00601,PH00158
DEV00602,Laptop,DEVICE_00602,PH00324
DEV00603,Tablet,DEVICE_00603,PH00347
DEV00604,iOS,DEVICE_00604,PH01144
DEV00605,Laptop,DEVICE_00605,PH00763
DEV00606,Laptop,DEVICE_00606,PH00228
DEV00607,Tablet,DEVICE_00607,PH01067
DEV00608,Tablet,DEVICE_00608,PH00540
DEV00609,Android,DEVICE_00609,PH00846
DEV00610,Tablet,DEVICE_00610,PH00036
DEV00611,Tablet,DEVICE_00611,PH00016
DEV00612,iOS,DEVICE_00612,PH00592
DEV00613,Laptop,DEVICE_00613,PH00438
DEV00614,Laptop,DEVICE_00614,PH01177
DEV00615,Tablet,DEVICE_00615,PH00653
DEV00616,Laptop,DEVICE_00616,PH00741
DEV00617,Tablet,DEVICE_00617,PH00752
DEV00618,iOS,DEVICE_00618,PH00039
DEV00619,Tablet,DEVICE_00619,PH00901
DEV00620,Android,DEVICE_00620,PH01025
DEV00621,Android,DEVICE_00621,PH00444
DEV00622,Tablet,DEVICE_00622,PH00559
DEV00623,Laptop,DEVICE_00623,PH00301
DEV00624,Tablet,DEVICE_00624,PH00992
DEV00625,Android,DEVICE_00625,PH00260
DEV00626,iOS,DEVICE_00626,PH01094
DEV00627,Tablet,DEVICE_00627,PH01197
DEV00628,Android,DEVICE_00628,PH00725
DEV00629,Tablet,DEVICE_00629,PH00887
DEV00630,Laptop,DEVICE_00630,PH00324
DEV00631,Tablet,DEVICE_00631,PH00365
DEV00632,Laptop,DEVICE_00632,PH01088
DEV00633,Android,DEVICE_00633,PH01176
DEV00634,Laptop,DEVICE_00634,PH00026
DEV00635,Laptop,DEVICE_00635,PH00013
DEV00636,Laptop,DEVICE_00636,PH00328
DEV00637,Android,DEVICE_00637,PH00263
DEV00638,Tablet,DEVICE_00638,PH00754
DEV00639,iOS,DEVICE_00639,PH00627
DEV00640,Android,DEVICE_00640,PH00813
DEV00641,iOS,DEVICE_00641,PH00308
DEV00642,Laptop,DEVICE_00642,PH00482
DEV00643,Android,DEVICE_00643,PH00723
DEV00644,Android,DEVICE_00644,PH00288
DEV00645,Tablet,DEVICE_00645,PH00582
DEV00646,Tablet,DEVICE_00646,PH00972
DEV00647,iOS,DEVICE_00647,PH00568
DEV00648,Tablet,DEVICE_00648,PH00491
DEV00649,Laptop,DEVICE_00649,PH00970
DEV00650,Laptop,DEVICE_00650,PH00261
DEV00651,Laptop,DEVICE_00651,PH00722
DEV00652,iOS,DEVICE_00652,PH01185
DEV00653,Android,DEVICE_00653,PH00804
DEV00654,iOS,DEVICE_00654,PH00820
DEV00655,Laptop,DEVICE_00655,PH01075
DEV00656,Laptop,DEVICE_00656,PH00890
DEV00657,Android,DEVICE_00657,PH01002
DEV00658,Laptop,DEVICE_00658,PH00991
DEV00659,Tablet,DEVICE_00659,PH00021
DEV00660,Android,DEVICE_00660,PH00799
DEV00661,Laptop,DEVICE_00661,PH01001
DEV00662,Tablet,DEVICE_00662,PH01165
DEV00663,Laptop,DEVICE_00663,PH00248
DEV00664,Laptop,DEVICE_00664,PH00120
DEV00665,iOS,DEVICE_00665,PH00351
DEV00666,Tablet,DEVICE_00666,PH00736
DEV00667,iOS,DEVICE_00667,PH01040
DEV00668,Tablet,DEVICE_00668,PH00752
DEV00669,Tablet,DEVICE_00669,PH00678
DEV00670,Android,DEVICE_00670,PH00318
DEV00671,Laptop,DEVICE_00671,PH00084
DEV00672,iOS,DEVICE_00672,PH01151
DEV00673,Tablet,DEVICE_00673,PH01193
DEV00674,Android,DEVICE_00674,PH00908
DEV00675,Android,DEVICE_00675,PH00246
DEV00676,Tablet,DEVICE_00676,PH00321
DEV00677,Android,DEVICE_00677,PH00699
DEV00678,Android,DEVICE_00678,PH00082
DEV00679,iOS,DEVICE_00679,PH00870
DEV00680,Android,DEVICE_00680,PH00305
DEV00681,Tablet,DEVICE_00681,PH00992
DEV00682,Android,DEVICE_00682,PH00371
DEV00683,Laptop,DEVICE_00683,PH00188
DEV00684,Tablet,DEVICE_00684,PH01174
DEV00685,Tablet,DEVICE_00685,PH00532
DEV00686,Tablet,DEVICE_00686,PH00098
DEV00687,Android,DEVICE_00687,PH01175
DEV00688,Tablet,DEVICE_00688,PH00222
DEV00689,Laptop,DEVICE_00689,PH00656
DEV00690,iOS,DEVICE_00690,PH00637
DEV00691,Tablet,DEVICE_00691,PH01172
DEV00692,Tablet,DEVICE_00692,PH00576
DEV00693,Laptop,DEVICE_00693,PH00342
DEV00694,Tablet,DEVICE_00694,PH01081
DEV00695,Tablet,DEVICE_00695,PH00883
DEV00696,Laptop,DEVICE_00696,PH00253
DEV00697,Laptop,DEVICE_00697,PH00066
DEV00698,Laptop,DEVICE_00698,PH00238
DEV00699,Android,DEVICE_00699,PH00680
DEV00700,Tablet,DEVICE_00700,PH00716
