phone_id,owner_person_id,number_token,carrier
PH00776,P00826,NUM_00776,C
PH00777,P00806,NUM_00777,C
PH00778,P00367,NUM_00778,A
PH00779,P00783,NUM_00779,A
PH00780,P00325,NUM_00780,D
PH00781,P00628,NUM_00781,A
PH00782,P00395,NUM_00782,D
PH00783,P00506,NUM_00783,C
PH00784,P00556,NUM_00784,C
PH00785,P00979,NUM_00785,C
PH00786,P00403,NUM_00786,C
PH00787,P00530,NUM_00787,C
PH00788,P00219,NUM_00788,B
PH00789,P00631,NUM_00789,C
PH00790,P00898,NUM_00790,D
PH00791,P00724,NUM_00791,D
PH00792,P00954,NUM_00792,D
PH00793,P00129,NUM_00793,C
PH00794,P00138,NUM_00794,B
PH00795,P00600,NUM_00795,C
PH00796,P00178,NUM_00796,C
PH00797,P00225,NUM_00797,C
PH00798,P00458,NUM_00798,C
PH00799,P00886,NUM_00799,B
PH00800,P00635,NUM_00800,D
PH00801,P00769,NUM_00801,C
PH00802,P00388,NUM_00802,B
PH00803,P00405,NUM_00803,D
PH00804,P00377,NUM_00804,A
PH00805,P00027,NUM_00805,A
PH00806,P00106,NUM_00806,A
PH00807,P00522,NUM_00807,B
PH00808,P00957,NUM_00808,A
PH00809,P00459,NUM_00809,C
PH00810,P00260,NUM_00810,A
PH00811,P00127,NUM_00811,C
PH00812,P00426,NUM_00812,D
PH00813,P00266,NUM_00813,A
PH00814,P00230,NUM_00814,B
PH00815,P00093,NUM_00815,A
PH00816,P00191,NUM_00816,C
PH00817,P00796,NUM_00817,A
PH00818,P00365,NUM_00818,B
PH00819,P00353,NUM_00819,C
PH00820,P00020,NUM_00820,C
PH00821,P00729,NUM_00821,C
PH00822,P00929,NUM_00822,C
PH00823,P00059,NUM_00823,A
PH00824,P00407,NUM_00824,A
PH00825,P00211,NUM_00825,C
PH00826,P00970,NUM_00826,A
PH00827,P00352,NUM_00827,C
PH00828,P00741,NUM_00828,B
PH00829,P00304,NUM_00829,A
PH00830,P00467,NUM_00830,D
PH00831,P00983,NUM_00831,D
PH00832,P00448,NUM_00832,B
PH00833,P00122,NUM_00833,A
PH00834,P00941,NUM_00834,B
PH00835,P00578,NUM_00835,D
PH00836,P00413,NUM_00836,D
PH00837,P00195,NUM_00837,D
PH00838,P00834,NUM_00838,A
PH00839,P00968,NUM_00839,A
PH00840,P00315,NUM_00840,A
PH00841,P00114,NUM_00841,D
PH00842,P00194,NUM_00842,C
PH00843,P00299,NUM_00843,A
PH00844,P00113,NUM_00844,A
PH00845,P00255,NUM_00845,A
PH00846,P00357,NUM_00846,A
PH00847,P00251,NUM_00847,B
PH00848,P00143,NUM_00848,C
PH00849,P00639,NUM_00849,C
PH00850,P00444,NUM_00850,D
PH00851,P00436,NUM_00851,B
PH00852,P00287,NUM_00852,C
PH00853,P00884,NUM_00853,B
PH00854,P00733,NUM_00854,A
PH00855,P00743,NUM_00855,B
PH00856,P00614,NUM_00856,A
PH00857,P00869,NUM_00857,B
PH00858,P00964,NUM_00858,A
PH00859,P00567,NUM_00859,C
PH00860,P00319,NUM_00860,C
PH00861,P00681,NUM_00861,B
PH00862,P00116,NUM_00862,A
PH00863,P00462,NUM_00863,A
PH00864,P00682,NUM_00864,B
PH00865,P00738,NUM_00865,C
PH00866,P00276,NUM_00866,A
PH00867,P00820,NUM_00867,B
PH00868,P00262,NUM_00868,A
PH00869,P00358,NUM_00869,C
PH00870,P00693,NUM_00870,B
PH00871,P00370,NUM_00871,C
PH00872,P00028,NUM_00872,D
PH00873,P00488,NUM_00873,C
PH00874,P00844,NUM_00874,A
PH00875,P00986,NUM_00875,B
PH00876,P00103,NUM_00876,B
PH00877,P00705,NUM_00877,A
PH00878,P00302,NUM_00878,B
PH00879,P00324,NUM_00879,D
PH00880,P00150,NUM_00880,A
PH00881,P00046,NUM_00881,B
PH00882,P00442,NUM_00882,B
PH00883,P00060,NUM_00883,D
PH00884,P00755,NUM_00884,D
PH00885,P00383,NUM_00885,D
PH00886,P00261,NUM_00886,D
PH00887,P00966,NUM_00887,D
PH00888,P00310,NUM_00888,B
PH00889,P00788,NUM_00889,D
PH00890,P00840,NUM_00890,B
PH00891,P00629,NUM_00891,B
PH00892,P00976,NUM_00892,D
PH00893,P00803,NUM_00893,A
PH00894,P00323,NUM_00894,A
PH00895,P00641,NUM_00895,C
PH00896,P00453,NUM_00896,D
PH00897,P00817,NUM_00897,A
PH00898,P00026,NUM_00898,B
PH00899,P00557,NUM_00899,A
PH00900,P00243,NUM_00900,D
PH00901,P00606,NUM_00901,D
PH00902,P00699,NUM_00902,B
PH00903,P00151,NUM_00903,C
PH00904,P00516,NUM_00904,B
PH00905,P00303,NUM_00905,A
PH00906,P00487,NUM_00906,C
PH00907,P00529,NUM_00907,D
PH00908,P00930,NUM_00908,C
PH00909,P00493,NUM_00909,C
PH00910,P00232,NUM_00910,D
PH00911,P00213,NUM_00911,B
PH00912,P00714,NUM_00912,D
PH00913,P00085,NUM_00913,A
PH00914,P00403,NUM_00914,A
PH00915,P00571,NUM_00915,C
PH00916,P00465,NUM_00916,C
PH00917,P00294,NUM_00917,B
PH00918,P00312,NUM_00918,A
PH00919,P00151,NUM_00919,B
PH00920,P00475,NUM_00920,C
PH00921,P00082,NUM_00921,A
PH00922,P00697,NUM_00922,C
PH00923,P00838,NUM_00923,A
PH00924,P00188,NUM_00924,A
PH00925,P00495,NUM_00925,B
PH00926,P00248,NUM_00926,B
PH00927,P00418,NUM_00927,C
PH00928,P00654,NUM_00928,A
PH00929,P00380,NUM_00929,D
PH00930,P00743,NUM_00930,B
PH00931,P00128,NUM_00931,C
PH00932,P00066,NUM_00932,D
PH00933,P00063,NUM_00933,B
PH00934,P00868,NUM_00934,C
PH00935,P00218,NUM_00935,B
PH00936,P00213,NUM_00936,A
PH00937,P00589,NUM_00937,A
PH00938,P00247,NUM_00938,D
PH00939,P00144,NUM_00939,A
PH00940,P00120,NUM_00940,A
PH00941,P00900,NUM_00941,C
PH00942,P00206,NUM_00942,B
PH00943,P00461,NUM_00943,C
PH00944,P00080,NUM_00944,A
PH00945,P00723,NUM_00945,B
PH00946,P00668,NUM_00946,C
PH00947,P00553,NUM_00947,B
PH00948,P00087,NUM_00948,D
PH00949,P00860,NUM_00949,B
PH00950,P00485,NUM_00950,A
PH00951,P00965,NUM_00951,C
PH00952,P00393,NUM_00952,A
PH00953,P00277,NUM_00953,A
PH00954,P00830,NUM_00954,A
PH00955,P00718,NUM_00955,A
PH00956,P00439,NUM_00956,A
PH00957,P00301,NUM_00957,C
PH00958,P00421,NUM_00958,B
PH00959,P00049,NUM_00959,C
PH00960,P00517,NUM_00960,A
PH00961,P00033,NUM_00961,B
PH00962,P00848,NUM_00962,A
PH00963,P00689,NUM_00963,C
PH00964,P00563,NUM_00964,C
PH00965,P00222,NUM_00965,D
PH00966,P00221,NUM_00966,B
PH00967,P00389,NUM_00967,A
PH00968,P00387,NUM_00968,C
PH00969,P00018,NUM_00969,B
PH00970,P00816,NUM_00970,C
PH00971,P00265,NUM_00971,A
PH00972,P00674,NUM_00972,B
PH00973,P00338,NUM_00973,C
PH00974,P00250,NUM_00974,C
PH00975,P00713,NUM_00975,C
PH00976,P00385,NUM_00976,A
PH00977,P00662,NUM_00977,C
PH00978,P00047,NUM_00978,C
PH00979,P00317,NUM_00979,D
PH00980,P00908,NUM_00980,D
PH00981,P00127,NUM_00981,C
PH00982,P00372,NUM_00982,B
PH00983,P00570,NUM_00983,B
PH00984,P00501,NUM_00984,C
PH00985,P00540,NUM_00985,C
PH00986,P00242,NUM_00986,B
PH00987,P00067,NUM_00987,D
PH00988,P00015,NUM_00988,C
PH00989,P00204,NUM_00989,D
PH00990,P00354,NUM_00990,D
PH00991,P00172,NUM_00991,C
PH00992,P00585,NUM_00992,B
PH00993,P00754,NUM_00993,B
PH00994,P00535,NUM_00994,A
PH00995,P00238,NUM_00995,B
PH00996,P00792,NUM_00996,D
PH00997,P00447,NUM_00997,C
PH00998,P00080,NUM_00998,C
PH00999,P00946,NUM_00999,C
PH01000,P00131,NUM_01000,B
PH01001,P00005,NUM_01001,B
PH01002,P00566,NUM_01002,C
PH01003,P00926,NUM_01003,B
PH01004,P00876,NUM_01004,A
PH01005,P00379,NUM_01005,C
PH01006,P00565,NUM_01006,C
PH01007,P00719,NUM_01007,A
PH01008,P00285,NUM_01008,C
PH01009,P00278,NUM_01009,A
PH01010,P00591,NUM_01010,D
PH01011,P00282,NUM_01011,B
PH01012,P00736,NUM_01012,D
PH01013,P00298,NUM_01013,B
PH01014,P00042,NUM_01014,A
PH01015,P00115,NUM_01015,C
PH01016,P00048,NUM_01016,A
PH01017,P00815,NUM_01017,D
PH01018,P00561,NUM_01018,A
PH01019,P00285,NUM_01019,D
PH01020,P00489,NUM_01020,B
PH01021,P00860,NUM_01021,A
PH01022,P00599,NUM_01022,A
PH01023,P00381,NUM_01023,B
PH01024,P00663,NUM_01024,D
PH01025,P00477,NUM_01025,C
PH01026,P00882,NUM_01026,C
PH01027,P00308,NUM_01027,C
PH01028,P00870,NUM_01028,B
PH01029,P00478,NUM_01029,D
PH01030,P00480,NUM_01030,A
PH01031,P00137,NUM_01031,A
PH01032,P00762,NUM_01032,C
PH01033,P00536,NUM_01033,B
PH01034,P00206,NUM_01034,D
PH01035,P00798,NUM_01035,C
PH01036,P00648,NUM_01036,D
PH01037,P00447,NUM_01037,A
PH01038,P00630,NUM_01038,D
PH01039,P00959,NUM_01039,C
PH01040,P00253,NUM_01040,D
PH01041,P00281,NUM_01041,B
PH01042,P00428,NUM_01042,C
PH01043,P00785,NUM_01043,B
PH01044,P00864,NUM_01044,A
PH01045,P00665,NUM_01045,A
PH01046,P00086,NUM_01046,C
PH01047,P00459,NUM_01047,D
PH01048,P00995,NUM_01048,C
PH01049,P00898,NUM_01049,B
PH01050,P00290,NUM_01050,C
PH01051,P00504,NUM_01051,A
PH01052,P00984,NUM_01052,C
PH01053,P00819,NUM_01053,D
PH01054,P00075,NUM_01054,D
PH01055,P00286,NUM_01055,D
PH01056,P00760,NUM_01056,C
PH01057,P00749,NUM_01057,B
PH01058,P00306,NUM_01058,A
PH01059,P00240,NUM_01059,D
PH01060,P00869,NUM_01060,B
PH01061,P00513,NUM_01061,A
PH01062,P00867,NUM_01062,C
PH01063,P00823,NUM_01063,A
PH01064,P00621,NUM_01064,B
PH01065,P00351,NUM_01065,A
PH01066,P00791,NUM_01066,D
PH01067,P00275,NUM_01067,B
PH01068,P00360,NUM_01068,C
PH01069,P00313,NUM_01069,A
PH01070,P00420,NUM_01070,B
PH01071,P00949,NUM_01071,D
PH01072,P00283,NUM_01072,D
PH01073,P00036,NUM_01073,A
PH01074,P00747,NUM_01074,B
PH01075,P00014,NUM_01075,D
PH01076,P00102,NUM_01076,C
PH01077,P00922,NUM_01077,D
PH01078,P00142,NUM_01078,A
PH01079,P00637,NUM_01079,C
PH01080,P00943,NUM_01080,D
PH01081,P00198,NUM_01081,A
PH01082,P00804,NUM_01082,C
PH01083,P00533,NUM_01083,A
PH01084,P00913,NUM_01084,C
PH01085,P00645,NUM_01085,A
PH01086,P00607,NUM_01086,A
PH01087,P00811,NUM_01087,D
PH01088,P00548,NUM_01088,B
PH01089,P00887,NUM_01089,D
PH01090,P00978,NUM_01090,C
PH01091,P00896,NUM_01091,B
PH01092,P00473,NUM_01092,A
PH01093,P00038,NUM_01093,C
PH01094,P00550,NUM_01094,D
PH01095,P00664,NUM_01095,A
PH01096,P00967,NUM_01096,D
PH01097,P00258,NUM_01097,B
PH01098,P00145,NUM_01098,C
PH01099,P00616,NUM_01099,C
PH01100,P00730,NUM_01100,D
PH01101,P00637,NUM_01101,B
PH01102,P00571,NUM_01102,D
PH01103,P00831,NUM_01103,C
PH01104,P00858,NUM_01104,A
PH01105,P00981,NUM_01105,A
PH01106,P00359,NUM_01106,A
PH01107,P00240,NUM_01107,D
PH01108,P00124,NUM_01108,C
PH01109,P00305,NUM_01109,C
PH01110,P00278,NUM_01110,A
PH01111,P00316,NUM_01111,A
PH01112,P00886,NUM_01112,A
PH01113,P00172,NUM_01113,D
PH01114,P00041,NUM_01114,A
PH01115,P00030,NUM_01115,A
PH01116,P00397,NUM_01116,A
PH01117,P00451,NUM_01117,B
PH01118,P00385,NUM_01118,B
PH01119,P00753,NUM_01119,A
PH01120,P00135,NUM_01120,B
PH01121,P00411,NUM_01121,B
PH01122,P00454,NUM_01122,A
PH01123,P00390,NUM_01123,C
PH01124,P00292,NUM_01124,D
PH01125,P00152,NUM_01125,A
PH01126,P00410,NUM_01126,C
PH01127,P00086,NUM_01127,D
PH01128,P00961,NUM_01128,C
PH01129,P00138,NUM_01129,B
PH01130,P00932,NUM_01130,B
PH01131,P00177,NUM_01131,D
PH01132,P00311,NUM_01132,A
PH01133,P00056,NUM_01133,B
PH01134,P00584,NUM_01134,C
PH01135,P00483,NUM_01135,D
PH01136,P00622,NUM_01136,A
PH01137,P00546,NUM_01137,D
PH01138,P00905,NUM_01138,C
PH01139,P00666,NUM_01139,A
PH01140,P00327,NUM_01140,C
PH01141,P00034,NUM_01141,A
PH01142,P00918,NUM_01142,C
PH01143,P00071,NUM_01143,A
PH01144,P00923,NUM_01144,C
PH01145,P00205,NUM_01145,B
PH01146,P00817,NUM_01146,C
PH01147,P00502,NUM_01147,D
PH01148,P00866,NUM_01148,A
PH01149,P00164,NUM_01149,D
PH01150,P00714,NUM_01150,B
PH01151,P00500,NUM_01151,D
PH01152,P00471,NUM_01152,A
PH01153,P00580,NUM_01153,A
PH01154,P00240,NUM_01154,C
PH01155,P00016,NUM_01155,B
PH01156,P00914,NUM_01156,C
PH01157,P00021,NUM_01157,B
PH01158,P00368,NUM_01158,B
PH01159,P00933,NUM_01159,B
PH01160,P00076,NUM_01160,B
PH01161,P00436,NUM_01161,B
PH01162,P00339,NUM_01162,B
PH01163,P00587,NUM_01163,B
PH01164,P00007,NUM_01164,B
PH01165,P00176,NUM_01165,B
PH01166,P00349,NUM_01166,C
PH01167,P00924,NUM_01167,A
PH01168,P00679,NUM_01168,C
PH01169,P00189,NUM_01169,D
PH01170,P00521,NUM_01170,A
PH01171,P00017,NUM_01171,B
PH01172,P00481,NUM_01172,A
PH01173,P00125,NUM_01173,D
PH01174,P00396,NUM_01174,B
PH01175,P00202,NUM_01175,D
PH01176,P00971,NUM_01176,C
PH01177,P00515,NUM_01177,D
PH01178,P00828,NUM_01178,C
PH01179,P00399,NUM_01179,C
PH01180,P00909,NUM_01180,B
PH01181,P00045,NUM_01181,D
PH01182,P00928,NUM_01182,C
PH01183,P00341,NUM_01183,A
PH01184,P00340,NUM_01184,A
PH01185,P00400,NUM_01185,C
PH01186,P00228,NUM_01186,A
PH01187,P00121,NUM_01187,B
PH01188,P00554,NUM_01188,B
PH01189,P00890,NUM_01189,A
PH01190,P00155,NUM_01190,B
PH01191,P00450,NUM_01191,A
PH01192,P00362,NUM_01192,A
PH01193,P00117,NUM_01193,C
PH01194,P00095,NUM_01194,D
PH01195,P00816,NUM_01195,D
PH01196,P00874,NUM_01196,B
PH01197,P00176,NUM_01197,A
PH01198,P00757,NUM_01198,A
PH01199,P00840,NUM_01199,D
PH01200,P00080,NUM_01200,C
